name,dateissue,Value
????,13990702,413441
????,13990701,412879
????,13990631,415907
????,13990630,422085
????,13990629,427698
????,13990626,430201
????,13990625,428099
????,13990624,422889
????,13990623,423147
????,13990622,426535
????,13990619,426964
????,13990618,432251
????,13990617,436843
????,13990616,441792
????,13990615,445262
????,13990612,449380
????,13990611,455994
????,13990610,462506
????,13990605,466957
????,13990604,455860
????,13990603,456201
????,13990602,465120
????,13990601,474425
????,13990529,481797
????,13990528,491456
????,13990527,487751
????,13990526,490564
????,13990525,501187
????,13990522,512004
????,13990521,514412
????,13990520,524830
????,13990519,533445
????,13990515,531857
????,13990514,527618
????,13990513,525879
????,13990512,526885
????,13990511,518127
????,13990508,507191
????,13990507,506984
????,13990506,503122
????,13990505,507048
????,13990504,509745
????,13990501,503119
????,13990431,507609
????,13990430,512473
????,13990429,501196
????,13990428,487827
????,13990425,481194
????,13990424,480860
????,13990423,482360
????,13990422,485888
????,13990421,471273
????,13990418,478682
????,13990417,483000
????,13990416,483362
????,13990415,469920
????,13990414,464525
????,13990411,466345
????,13990410,453037
????,13990409,434752
????,13990408,440168
????,13990407,441614
????,13990404,432005
????,13990403,430443
????,13990402,419318
????,13990401,411210
????,13990331,409243
????,13990327,398750
????,13990326,389333
????,13990325,380575
????,13990324,378122
????,13990321,368095
????,13990320,359090
????,13990319,356649
????,13990318,353917
????,13990317,340846
????,13990313,330490
????,13990312,321410
????,13990311,318287
????,13990310,318896
????,13990307,312048
????,13990306,312466
????,13990303,318281
????,13990231,322025
????,13990230,321158
????,13990229,314451
????,13990228,306682
????,13990227,310164
????,13990224,316055
????,13990223,318217
????,13990222,324757
????,13990221,324873
????,13990220,319380
????,13990217,308134
????,13990216,310376
????,13990215,312075
????,13990214,310017
????,13990213,297958
????,13990210,285667
????,13990209,276644
????,13990208,271768
????,13990207,267461
????,13990206,261085
????,13990203,252056
????,13990202,246160
????,13990201,242263
????,13990131,238107
????,13990130,233526
????,13990127,225558
????,13990126,219152
????,13990125,219680
????,13990124,219754
????,13990123,215495
????,13990120,213791
????,13990119,209284
????,13990118,205021
????,13990117,204359
????,13990116,200892
????,13990111,195202
????,13990110,193974
????,13990109,188690
????,13990106,183478
????,13990105,178650
????,13981228,177080
????,13981227,173784
????,13981226,174668
????,13981225,172406
????,13981224,175731
????,13981221,178973
????,13981220,177929
????,13981219,180970
????,13981217,184501
????,13981214,186266
????,13981213,182996
????,13981212,178939
????,13981211,174470
????,13981210,169585
????,13981207,173298
????,13981206,170944
????,13981205,166233
????,13981204,163322
????,13981203,157219
????,13981130,155685
????,13981129,152187
????,13981128,152696
????,13981127,152458
????,13981126,150032
????,13981123,148930
????,13981121,145326
????,13981120,147472
????,13981119,147116
????,13981116,146571
????,13981115,145049
????,13981114,145542
????,13981113,141862
????,13981112,140201
????,13981108,139961
????,13981107,138235
????,13981106,137333
????,13981105,135541
????,13981102,131850
????,13981101,129420
????,13981030,128090
????,13981029,126787
